  0.0000   0.0000   1.0000
  0.1250   0.0000   0.8750
  0.2500   0.0000   0.7500
  0.3750   0.0000   0.6250
  0.5000   0.0000   0.5000
  0.6250   0.0000   0.3750
  0.7500   0.0000   0.2500
  0.8750   0.0000   0.1250
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.8750
  0.1250   0.1250   0.7083
  0.2500   0.1250   0.5693
  0.3750   0.1250   0.4538
  0.5000   0.1250   0.3556
  0.6250   0.1250   0.2736
  0.7500   0.1250   0.2106
  0.8750   0.1250   0.1648
  1.0000   0.1250   0.1250

  0.0000   0.2500   0.7500
  0.1250   0.2500   0.5693
  0.2500   0.2500   0.4283
  0.3750   0.2500   0.3232
  0.5000   0.2500   0.2469
  0.6250   0.2500   0.2010
  0.7500   0.2500   0.1917
  0.8750   0.2500   0.2150
  1.0000   0.2500   0.2500

  0.0000   0.3750   0.6250
  0.1250   0.3750   0.4538
  0.2500   0.3750   0.3232
  0.3750   0.3750   0.2311
  0.5000   0.3750   0.1737
  0.6250   0.3750   0.1577
  0.7500   0.3750   0.1942
  0.8750   0.3750   0.2775
  1.0000   0.3750   0.3750

  0.0000   0.5000   0.5000
  0.1250   0.5000   0.3556
  0.2500   0.5000   0.2469
  0.3750   0.5000   0.1737
  0.5000   0.5000   0.1364
  0.6250   0.5000   0.1489
  0.7500   0.5000   0.2281
  0.8750   0.5000   0.3585
  1.0000   0.5000   0.5000

  0.0000   0.6250   0.3750
  0.1250   0.6250   0.2736
  0.2500   0.6250   0.2010
  0.3750   0.6250   0.1577
  0.5000   0.6250   0.1489
  0.6250   0.6250   0.1962
  0.7500   0.6250   0.3086
  0.8750   0.6250   0.4641
  1.0000   0.6250   0.6250

  0.0000   0.7500   0.2500
  0.1250   0.7500   0.2106
  0.2500   0.7500   0.1917
  0.3750   0.7500   0.1942
  0.5000   0.7500   0.2281
  0.6250   0.7500   0.3086
  0.7500   0.7500   0.4364
  0.8750   0.7500   0.5926
  1.0000   0.7500   0.7500

  0.0000   0.8750   0.1250
  0.1250   0.8750   0.1648
  0.2500   0.8750   0.2150
  0.3750   0.8750   0.2775
  0.5000   0.8750   0.3585
  0.6250   0.8750   0.4641
  0.7500   0.8750   0.5926
  0.8750   0.8750   0.7338
  1.0000   0.8750   0.8750

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.1250
  0.2500   1.0000   0.2500
  0.3750   1.0000   0.3750
  0.5000   1.0000   0.5000
  0.6250   1.0000   0.6250
  0.7500   1.0000   0.7500
  0.8750   1.0000   0.8750
  1.0000   1.0000   1.0000

